Gene,GAE_recon,Infomap,GAE_Silhouette,UMAP_KMeans
hsa:9108,32,1,67,108
hsa:81,9,1,5,76
hsa:152138,55,1,1,192
hsa:30835,48,1,38,148
hsa:3021,82,1,25,59
hsa:7048,5,1,58,33
hsa:8613,42,3,27,99
hsa:7417,32,1,25,162
hsa:2911,9,1,56,240
hsa:440,71,4,26,42
hsa:133686,6,1,2,38
hsa:7056,16,1,58,165
path:hsa00010,10,4,41,107
hsa:2903,17,1,31,228
hsa:1945,16,1,50,19
hsa:9927,8,5,70,236
hsa:6652,23,3,26,109
hsa:3568,9,1,46,129
hsa:6198,23,1,0,241
hsa:118788,42,1,0,11
hsa:9902,52,1,38,217
hsa:81849,23,6,59,168
hsa:5464,24,5,16,223
hsa:7057,27,1,12,94
hsa:1613,61,1,72,209
hsa:6605,61,1,47,128
hsa:9296,32,5,16,95
hsa:50855,48,1,29,180
hsa:26279,20,3,9,195
hsa:8396,32,1,22,61
hsa:8771,9,1,38,87
cpd:C00584,41,3,55,136
hsa:868,90,1,44,183
hsa:5255,81,4,75,207
hsa:9184,18,1,1,57
cpd:C00416,52,3,9,148
hsa:80736,9,1,47,26
path:map00984,90,2,20,62
hsa:406890,11,1,89,14
hsa:1564,11,2,27,158
hsa:174,6,1,66,16
hsa:392255,27,1,89,33
hsa:59341,24,1,56,196
hsa:6489,32,6,59,168
hsa:56848,23,3,55,92
hsa:8722,17,1,68,98
cpd:C14768,16,1,51,22
hsa:84867,24,1,3,15
hsa:26253,79,1,70,186
hsa:224,0,2,90,150
hsa:260434,23,1,47,192
hsa:7298,24,7,60,38
hsa:159,5,1,30,31
cpd:C21014,77,1,39,94
hsa:6865,71,1,82,189
hsa:1649,6,1,74,218
hsa:9414,48,1,47,54
hsa:8550,26,1,58,214
hsa:6514,2,1,3,149
hsa:6868,2,1,89,143
hsa:1646,6,2,27,250
hsa:4540,91,1,33,8
hsa:51802,24,5,45,187
hsa:5467,58,1,73,64
hsa:406894,70,1,47,222
hsa:6517,65,4,12,180
hsa:4705,45,1,33,8
hsa:51744,55,1,39,0
hsa:114769,55,1,72,143
hsa:3773,32,1,33,48
hsa:54413,42,25,49,203
hsa:25,73,1,39,222
hsa:4879,78,1,3,51
hsa:2618,78,7,26,139
hsa:3717,34,1,17,11
hsa:1291,6,1,69,81
hsa:8915,6,1,25,137
hsa:6500,56,1,38,215
hsa:1548,1,2,6,158
hsa:100526760,65,1,16,83
hsa:2799,9,6,36,166
hsa:26056,6,9,70,8
hsa:26301,65,6,4,86
hsa:29775,23,1,65,149
hsa:10352,17,1,1,113
hsa:8471,42,1,44,172
hsa:10297,82,1,89,102
hsa:128,38,2,87,197
hsa:1230,41,1,15,131
hsa:79594,6,5,72,84
hsa:132014,90,72,76,160
hsa:6934,18,1,73,200
hsa:57216,78,1,23,102
cpd:C05122,78,1,28,145
hsa:92,58,1,70,33
hsa:113146,8,1,47,63
hsa:3758,28,1,33,48
hsa:51816,5,1,30,113
hsa:80835,79,60,70,166
hsa:55278,76,4,49,166
hsa:9519,24,1,70,26
hsa:2033,17,1,75,126
hsa:59344,5,3,9,55
hsa:158835,64,2,90,69
hsa:84803,17,3,9,62
hsa:27101,17,1,38,74
hsa:407007,56,1,25,90
hsa:284273,4,3,14,55
hsa:3329,65,1,73,18
hsa:1716,6,1,62,113
hsa:57104,71,3,9,138
hsa:314,8,4,36,109
hsa:117157,58,1,28,172
hsa:8717,34,1,83,101
path:hsa00400,1,4,26,170
hsa:122970,1,2,84,190
hsa:3586,18,1,0,78
hsa:4524,30,7,26,139
hsa:23175,61,3,9,90
hsa:157855,71,1,57,43
hsa:3354,6,1,71,30
hsa:7171,6,1,38,147
hsa:134,18,1,86,79
hsa:3593,6,1,58,194
hsa:50511,63,1,72,133
hsa:6720,5,4,57,134
hsa:3292,82,2,87,250
hsa:8324,77,1,18,237
hsa:340529,77,11,43,225
hsa:554213,71,1,72,47
hsa:2628,60,1,26,142
hsa:9722,16,1,5,13
hsa:6335,4,1,28,189
hsa:406935,46,1,15,177
hsa:1027,22,1,34,184
hsa:3567,58,1,0,78
hsa:54766,53,11,35,225
hsa:5592,5,1,8,177
path:hsa00410,5,4,26,85
hsa:79092,71,1,65,149
hsa:107,26,1,19,111
hsa:8766,23,9,28,22
hsa:54106,8,1,39,143
hsa:407051,8,1,12,94
hsa:1814,37,1,71,30
hsa:5783,90,1,0,94
hsa:23643,56,1,12,18
hsa:4360,11,1,38,217
hsa:23545,11,5,72,53
hsa:151636,26,1,21,47
cpd:C00044,77,1,3,167
hsa:7114,73,1,3,63
hsa:3032,23,4,40,123
hsa:51004,90,4,49,156
hsa:10542,16,5,16,223
hsa:79816,6,1,89,64
hsa:143,44,1,1,90
hsa:3020,38,1,25,59
hsa:7292,51,64,72,52
hsa:26,44,2,53,109
hsa:5993,42,1,43,164
hsa:2617,43,3,20,55
hsa:55529,2,1,85,11
hsa:25796,42,4,84,60
hsa:7030,81,1,72,99
hsa:6654,11,1,17,167
hsa:10993,38,3,1,55
cpd:C00219,82,3,24,5
hsa:406953,16,1,47,167
hsa:5730,23,3,55,7
hsa:8992,71,5,72,53
hsa:7849,4,1,49,161
hsa:5207,81,4,80,134
hsa:10332,15,1,38,148
hsa:2720,23,6,4,235
hsa:6502,55,1,38,24
hsa:3459,55,1,46,163
path:hsa00785,0,4,84,134
hsa:7293,71,64,72,249
hsa:113878,82,1,21,47
hsa:259230,78,3,48,120
hsa:5737,78,1,56,146
hsa:8140,55,1,3,90
hsa:1399,55,1,44,129
hsa:8321,79,1,18,237
hsa:54795,2,1,72,209
hsa:5261,6,4,75,207
hsa:25865,56,1,31,149
hsa:3356,78,1,71,20
hsa:1359,16,1,28,32
hsa:3561,82,1,46,96
hsa:4973,14,1,39,214
hsa:441024,32,7,26,139
hsa:5649,5,1,3,93
hsa:55515,1,5,45,187
hsa:9547,82,1,15,34
hsa:93034,9,1,37,3
hsa:10015,71,28,49,238
hsa:3563,58,1,46,163
hsa:7879,56,5,72,223
hsa:9064,56,1,29,118
hsa:954,5,1,37,136
hsa:63976,55,1,49,164
hsa:51422,41,4,22,105
hsa:11200,2,1,73,66
hsa:51585,2,69,49,2
hsa:84189,71,44,72,225
hsa:3125,42,1,43,232
hsa:55748,55,2,53,198
hsa:11184,11,1,12,141
hsa:4329,28,4,40,85
hsa:9711,18,1,72,138
hsa:2938,63,2,6,157
hsa:9675,71,1,12,90
hsa:10392,42,1,39,180
hsa:2788,17,1,64,13
hsa:401152,68,1,47,97
hsa:2250,68,1,50,65
hsa:956,42,1,63,136
hsa:5700,77,1,72,16
hsa:800,83,1,65,57
hsa:29082,6,28,49,72
hsa:414062,48,1,58,78
hsa:100130933,90,1,47,97
hsa:7465,17,1,1,92
hsa:5502,65,1,75,104
hsa:2064,77,1,81,172
hsa:157,2,1,56,34
hsa:8560,79,3,48,89
hsa:3274,44,1,82,117
hsa:2621,77,1,39,61
hsa:220441,79,1,28,101
hsa:64064,90,4,41,123
hsa:4942,18,2,60,83
hsa:271,48,1,37,3
hsa:126961,86,1,25,59
hsa:645974,9,11,43,225
hsa:2530,48,6,78,114
hsa:58497,55,1,51,17
hsa:51510,55,41,72,124
hsa:4627,47,1,0,130
hsa:9525,17,41,72,124
hsa:54468,56,1,49,66
hsa:6597,71,1,47,128
hsa:5908,23,1,31,92
hsa:5740,6,3,55,7
hsa:7248,83,1,91,83
hsa:10568,23,30,1,35
hsa:1847,80,1,3,15
hsa:1519,23,1,83,98
hsa:55224,56,3,20,163
hsa:580,81,1,28,133
hsa:113451,76,1,33,142
hsa:22821,9,1,29,167
hsa:4700,68,1,33,8
hsa:3809,42,1,43,28
hsa:1366,80,1,11,9
hsa:5322,1,3,9,195
hsa:2099,55,1,74,92
path:map00960,5,1,53,113
hsa:5336,80,1,17,222
hsa:51170,80,2,87,250
hsa:7225,56,1,5,196
hsa:338382,34,5,72,35
hsa:79168,56,1,47,29
hsa:65258,42,70,38,124
hsa:9261,77,1,34,214
hsa:5914,82,1,49,92
hsa:4210,42,1,25,221
hsa:1978,28,1,39,220
hsa:406943,5,75,76,190
hsa:4296,36,1,83,87
hsa:5836,26,4,75,130
hsa:388585,26,1,21,47
hsa:2775,43,1,61,13
hsa:5603,31,1,52,41
hsa:3283,55,2,87,45
hsa:27130,48,1,23,102
hsa:84631,1,44,72,225
hsa:3566,55,1,46,192
hsa:4298,6,26,70,166
hsa:4800,6,1,42,164
hsa:7476,1,1,13,10
hsa:8874,48,1,0,96
hsa:5860,71,3,26,38
hsa:8784,73,62,1,97
hsa:4802,58,1,43,164
hsa:5924,8,1,22,149
hsa:9331,51,6,48,235
hsa:23411,17,1,51,74
hsa:2357,11,1,29,108
hsa:3949,11,27,49,97
hsa:57153,61,1,47,26
hsa:51206,2,1,89,169
hsa:4286,1,1,39,57
hsa:8741,1,1,72,156
hsa:4259,17,2,6,157
hsa:204962,24,1,47,26
hsa:55034,90,4,72,60
hsa:1558,51,2,6,70
hsa:7471,1,1,13,10
hsa:53944,76,1,5,185
hsa:276,55,4,43,27
hsa:3709,55,1,22,146
hsa:9060,6,1,84,138
path:hsa00061,51,4,26,248
hsa:10524,77,1,70,221
hsa:27244,1,1,38,66
hsa:10682,42,2,20,250
hsa:493,9,1,5,23
hsa:26508,42,1,21,47
hsa:1259,1,1,85,130
hsa:226,41,4,32,174
hsa:9334,8,6,48,235
hsa:10558,23,3,84,55
hsa:442590,23,1,1,88
hsa:10892,19,1,12,182
hsa:5305,77,1,22,61
hsa:5777,42,1,83,122
hsa:10062,11,1,70,161
hsa:5732,83,3,25,117
cpd:C06866,83,5,38,21
hsa:9071,64,1,11,9
hsa:203068,64,1,53,178
hsa:2819,66,3,14,62
hsa:2770,53,1,52,13
hsa:64283,26,1,56,171
hsa:6513,71,1,81,115
hsa:10170,77,2,27,199
hsa:115727,71,1,75,167
hsa:53828,68,8,72,54
hsa:96459,16,61,49,14
cpd:C04483,83,1,1,145
hsa:10133,77,5,70,216
hsa:3133,24,1,43,151
hsa:22800,6,1,22,148
hsa:859,90,1,39,96
hsa:574476,80,1,38,32
cpd:C22540,30,1,28,24
hsa:5534,56,1,10,153
hsa:8692,32,2,84,205
hsa:8718,23,1,70,217
hsa:55626,6,1,12,41
hsa:29882,41,1,41,71
hsa:51433,20,1,41,71
hsa:23786,69,5,16,84
hsa:4763,24,1,29,167
hsa:2668,58,1,50,19
cpd:C00039,44,1,70,143
hsa:7158,81,1,72,160
hsa:1278,56,1,0,140
hsa:4067,81,1,22,183
hsa:2747,5,4,26,174
hsa:190,90,1,76,176
hsa:974,9,1,3,169
hsa:598,17,1,0,112
hsa:10587,77,7,41,144
hsa:8528,2,4,40,42
hsa:10474,78,1,47,66
hsa:962,33,1,70,172
hsa:3663,13,1,58,87
hsa:4496,7,18,76,86
hsa:10913,76,1,70,230
hsa:2566,48,1,25,103
hsa:486,1,8,57,23
hsa:83990,33,1,38,133
cpd:C14748,5,1,1,22
hsa:123720,55,1,65,58
hsa:2776,65,1,56,193
hsa:58538,26,1,47,180
hsa:54995,71,4,20,62
hsa:558,78,1,65,222
hsa:220,9,2,90,132
hsa:5288,9,1,67,39
hsa:10014,79,1,29,196
hsa:25973,77,4,60,83
hsa:407049,36,1,1,173
hsa:4318,22,1,0,194
hsa:10905,77,6,16,225
hsa:1036,19,2,26,44
hsa:4191,41,4,40,198
hsa:5268,1,1,38,66
hsa:23365,55,1,56,167
hsa:93343,65,28,76,28
hsa:3913,26,1,28,32
hsa:9133,6,1,84,25
hsa:57530,57,1,60,252
hsa:27006,51,1,50,65
hsa:130589,56,4,42,174
cpd:C11310,18,1,49,176
cpd:C11695,82,1,57,136
hsa:7408,6,1,57,23
path:hsa00030,90,4,84,171
hsa:338324,78,1,0,181
hsa:56477,6,1,15,34
hsa:489,42,1,29,107
hsa:6810,71,13,28,37
hsa:350,31,3,76,62
hsa:3362,2,1,71,117
hsa:1032,62,1,83,25
hsa:246184,32,1,41,71
hsa:4543,56,1,5,30
hsa:2944,88,2,6,157
hsa:9217,34,1,28,56
hsa:84617,34,1,53,178
hsa:170572,17,1,71,188
hsa:59343,63,1,23,102
hsa:4860,53,1,30,113
hsa:6095,1,1,0,143
hsa:1019,90,1,39,194
cpd:C00038,88,18,76,235
hsa:55300,34,1,67,61
hsa:7046,51,1,58,33
hsa:57148,12,1,34,184
hsa:84976,81,1,23,82
hsa:10039,82,1,1,90
hsa:4600,65,1,38,77
hsa:1299,77,1,89,81
hsa:4967,42,4,40,83
hsa:6752,47,1,82,79
hsa:51347,6,1,15,118
hsa:6392,71,4,60,141
hsa:51606,71,5,72,95
hsa:29110,49,1,39,94
hsa:3605,16,1,3,51
hsa:5878,1,1,47,54
hsa:595,78,1,39,148
hsa:961,18,1,89,15
hsa:4714,32,1,33,8
hsa:138429,81,1,22,61
hsa:4852,80,1,31,191
hsa:11127,42,1,25,131
hsa:5869,6,1,47,54
hsa:5831,18,4,4,83
hsa:5170,58,1,10,112
hsa:4952,58,1,22,108
hsa:6309,35,2,41,62
hsa:3269,79,1,82,189
hsa:27092,90,1,75,104
hsa:23410,56,1,2,38
cpd:C21790,9,1,28,11
hsa:4099,72,38,16,249
hsa:9486,79,6,84,168
hsa:6822,11,2,27,55
hsa:3033,26,4,40,123
hsa:6821,32,1,49,28
hsa:5899,23,1,29,214
hsa:2998,44,4,5,100
cpd:C21791,55,1,47,100
hsa:1031,27,1,89,98
hsa:3480,71,1,81,122
hsa:3595,43,1,46,192
hsa:1488,43,1,12,64
hsa:9447,6,1,70,160
hsa:1615,5,4,76,44
hsa:5214,35,4,32,201
cpd:C03378,32,1,49,156
hsa:27141,90,27,76,156
hsa:1994,76,4,80,134
hsa:7786,6,1,29,141
hsa:10825,32,6,4,235
hsa:4287,9,1,33,219
hsa:200186,4,4,80,232
hsa:83706,65,1,1,214
hsa:10400,23,3,9,80
hsa:5970,23,1,58,220
hsa:3931,11,3,9,137
hsa:4854,11,1,69,29
hsa:9048,22,1,50,19
hsa:25939,58,1,49,160
hsa:2149,6,1,56,146
hsa:1385,77,1,5,1
hsa:27115,8,1,30,31
hsa:7366,80,2,6,46
hsa:5861,80,1,28,35
hsa:51540,33,7,41,144
hsa:27183,5,41,72,124
hsa:11346,56,1,25,63
hsa:2012,81,1,29,244
hsa:6484,18,6,4,168
cpd:C05965,71,5,72,21
hsa:56261,51,3,55,137
hsa:318,23,1,63,136
hsa:162514,78,53,49,124
hsa:2593,78,1,28,83
hsa:9023,24,2,41,46
hsa:6916,78,3,55,7
hsa:139065,77,44,72,114
hsa:51512,8,1,38,66
hsa:10459,13,1,20,57
hsa:196883,65,1,19,111
hsa:9842,50,5,45,84
hsa:8491,77,1,47,92
hsa:5648,3,1,82,146
hsa:1582,19,2,14,250
hsa:85366,78,1,10,153
hsa:4843,88,1,46,174
hsa:1133,71,1,86,247
hsa:2820,23,3,14,62
hsa:5232,19,4,70,135
hsa:1491,43,7,41,139
hsa:406911,35,1,12,18
hsa:92552,78,1,33,219
hsa:2114,23,1,65,57
hsa:890,2,1,28,85
hsa:249,32,24,60,38
hsa:79443,42,5,72,141
path:map00660,24,4,26,174
hsa:49861,24,1,11,9
hsa:912,35,1,39,12
hsa:5591,35,1,38,66
hsa:221357,53,2,6,157
hsa:119504,1,1,41,71
hsa:117145,6,2,84,190
hsa:3350,1,1,71,30
hsa:3174,76,1,72,147
hsa:2538,6,4,42,25
hsa:406906,23,2,28,133
hsa:5582,65,1,22,177
hsa:4689,6,1,39,234
hsa:140886,60,11,43,225
hsa:10383,24,1,53,178
hsa:6709,54,1,12,112
hsa:3625,13,1,70,15
hsa:4157,90,1,82,117
hsa:80150,77,4,26,42
hsa:9374,77,4,41,62
hsa:285973,18,1,72,176
hsa:5468,5,1,38,98
hsa:27329,23,3,76,62
hsa:7405,42,1,72,209
hsa:374659,76,1,62,38
hsa:129642,1,3,9,99
hsa:4493,65,18,76,86
hsa:406885,8,1,83,167
hsa:28956,66,5,16,223
hsa:7139,58,1,12,147
hsa:64506,51,1,72,236
hsa:8777,76,1,72,122
hsa:122618,55,3,9,80
hsa:8887,53,5,45,84
hsa:23192,71,5,16,216
hsa:6927,28,1,72,161
hsa:4088,78,1,66,135
hsa:2251,1,1,50,65
hsa:3718,1,1,52,183
hsa:4353,75,2,14,250
hsa:57176,1,40,72,2
hsa:1638,90,1,47,221
hsa:112574,13,1,85,100
cpd:C02165,4,4,28,21
hsa:80310,58,1,50,244
hsa:51100,26,1,72,35
hsa:64065,57,1,38,66
hsa:1901,41,1,83,105
hsa:56623,5,1,22,108
hsa:4089,36,1,66,33
hsa:434,36,1,28,17
hsa:6346,16,1,15,34
hsa:7090,82,1,12,64
hsa:9249,71,2,27,199
hsa:406913,23,1,50,100
hsa:9748,42,1,89,236
hsa:8681,23,3,88,195
hsa:2937,77,2,90,144
hsa:693187,16,1,38,54
hsa:1592,5,2,6,132
